lat,long,address
15.82441616,101.838303,"Unnamed Road, Tambon Talat Raeng, Amphoe Ban Khwao, Chang Wat Chaiyaphum 36170, Thailand"
58.49505234,5.807278,"Nordsjøvegen, 4364 Sirevåg, Norway"
16.87000084,-99.817085,"Ciudad Pérdida 10, La Sabana, 39799 Acapulco, Guerrero, Mexico"
55.55073547,22.265993,"E85, 75492, Litwa"
42.11227798,-1.822601,"Calle José Luis Arrese, 31591 Corella, Navarre, Spanien"
45.71424866,21.206326,"Aleea Nicoreşti, Timișoara, Romania"
38.34711075,22.905979,"Epar.Od. Agiou Georgiou-Agias Annas 276, Ag. Triada 321 00, Greece"
24.86325073,55.178013,Emirates Rd - Dubai - Emiratele Arabe Unite
45.38508987,14.354772,"Gornji Turki, 51215, Brnčići, Chorwacja"
48.12480164,17.076136,"E65, 851 01 Petržalka, Slovakia"
59.35496521,13.787681,"ARNÖN 210, 660 57 Väse, Sweden"
46.58872223,18.435047,"7064 Gyönk, 6313, Węgry"
52.53569794,16.469717,"Droga Wojewódzka 306, Poland"
-18.77832222,145.802628,"787 Oak Hills Rd, Mount Fox QLD 4850, Australia"
43.04376221,-90.656395,"14813-14953 County Road T, Fennimore, WI 53809, USA"
-5.21885109,-39.303082,"CE-166, Quixeramobim - CE, 63800-000, Brazil"
10.98095989,105.177795,"101, Cambodia"
51.43020630,24.600740,"М19, Butsyn, Volyns'ka oblast, Ukraine"
38.87070847,-7.204943,"N4, 7350, Portugal"
-25.03465843,23.237131,"A20, Botswana"
54.84004211,-8.473377,"4, Portnoo, Co. Baie de Donegal, Irlande"
49.08654022,14.844007,"Novosedly nad Nežárkou 205, 378 17 Novosedly nad Nežárkou, Czech Republic"
51.94570160,4.441118,"Van der Duijn van Maasdamweg 601, 3045 PE Rotterdam, The Netherlands"
8.15388107,-76.039757,"Unnamed Road, Tierralta, Córdoba, Colombia"
-25.30661583,27.192694,"Unnamed Road, Mabele-a-Podi, 0354, South Africa"
-40.23200226,175.733154,"720 Watershed Road, Bunnythorpe 4470, New Zealand"
64.03507233,-22.702345,"Vallargata, Sandgerði, Islandia"
46.51375580,14.860552,"Kopališka pot 11, 2392 Mežica, Slovenia"
56.67219162,24.362980,"P89, Baldones lauku teritorija, LV-2125, Latvia"
59.31916809,26.437658,"88, 46610 Lääne-Viru County, Estonia"
32.69358063,35.313286,"Harod Street 1, Nazareth Iliit, İsrail"
44.13747787,9.762489,"Via Giacomo Matteotti, 6, 19020 Quaratica La Spezia, Italy"
43.33696747,24.321306,"E83, Sadovets, Bulgarien"
58.65501404,35.973080,"49K-14, Novgorodskaya oblast', Russia"
46.71569443,6.412976,"9, 1337 Vallorbe, Szwajcaria"
56.93602371,-6.147273,"Unnamed Road, Isle of Eigg, Highland PH42 4RL, UK"
56.95734024,9.411237,"Halkærvej 210, 9240 Nibe, Denmark"
-26.45434380,31.079685,"MR19, Swaziland"
-34.46489716,-71.401268,"I-318, Peralillo, VI Región, Chile"
43.38306046,0.327032,"D567, 32170 Sarraguzan, France"
27.28003120,89.304794,"Chhudzom - Haa Rd, Bhutan"
